"Invalid phone","Số điện thoại không hợp lệ"
"Invalid email","Email không hợp lệ"
"Account Information Affiliate","Cộng tác viên"
"Account Information Customer","Thành viên"
"Discount Amount", "Giảm giá",
"Please input info full to receive price quote", "Vui lòng nhập đầy đủ thông tin để nhận báo giá",
"Tax not include", "Chưa bao gồm thuế"
"Not included", "Chưa bao gồm"
"Payment method customize", "Thông tin thanh toán và hóa đơn"
"Address VAT","Địa chỉ"
"Invoice Information","Thông tin xuất hóa đơn"
"Notes","Ghi chú"
"Address contact","Địa chỉ liên hệ"
"Discount code","Mã giảm giá/khuyến mãi"
"Affiliate Code Order","Mã nhân viên tư vấn"
"Address Information","Thông tin địa chỉ"
"Affiliate Code To Order","Mã nhân viên lên đơn hàng"
"Affiliate Subgroup","Phân nhóm"
"Update an Account","Cập nhật"
"Password and confirmation password do not match","Mật khẩu và xác nhận mật khẩu không khớp"
"Invalid password","Mật khẩu không hợp lệ"
"Update affiliate account successfull!","Chỉnh sửa tài khoản CTV thành công!"
"Error happens. Try again.","Đã xảy ra lỗi"
"All History Orders","Tất cả"
"Only %1 item left", "Chỉ còn %1 sản phẩm"
"Product %1 is out of stock. Please check the information.", "Sản phẩm %1 đã hết hàng. Vui lòng kiểm tra lại thông tin."
"The product %1 is not of sufficient quantity. Please check the information.", "Sản phẩm %1 không đủ số lượng. Vui lòng kiểm tra lại thông tin."
"All History Orders","Tất cả"
"Account Customer","Thông tin tài khoản"
"Infor Account Affiliate","Thông tin cá nhân"
"View more","Xem thêm"
"Not enough required amount.", "Không đủ số lượng yêu cầu."
"Affiliate Account","Tài khoản Cộng tác viên"
"Member Account","Tài khoản Thành viên"
"Please input order code.","Vui lòng nhập mã đơn hàng"
"Please input phone number.","Vui lòng nhập số điện thoại"
"You entered incorrect data. Please try again.","Không tìm thấy đơn hàng phù hợp",module,Magento_Sales
"Sign up for a quote","Đăng ký nhận báo giá"
"Input VAT number","Nhập mã số thuế"
"Input email quote","Nhập email nhận báo giá"
"Subtotal mobile","Thành tiền"
"Gender is the required case","Giới tính là bắt buộc"
"Statistics results for the last %1 months","Thống kê kết quả %1 tháng gần nhất"
"Statistics results for the last month","Thống kê kết quả tháng gần nhất"
"Revenue","Doanh thu"
"Discount","Chiết khấu"
"Total","Tổng cộng",module,Chottvn_Affiliate
"Number of successful orders","Số đơn hàng thành công"
"Take the initiative","Chủ động"
"Noted by customers","Khách hàng ghi nhận"
"Load more details","Xem chi tiết"
"Load less details","Thu gọn"
"Delivery date","Ngày giao hàng"
"Canceled Order","Đơn hàng đã hủy"
"Shipping & Handling(temp)","Phí giao hàng (tạm tính)"
"Select available addresses:","Chọn địa chỉ có sẵn:"
"Or enter a different address:","Hoặc nhập 1 địa chỉ khác:"
"Finished","đơn hàng thành công!",module,Magento_Sales
"Returned","đã trả đơn hàng thành công!",module,Magento_Sales
"Returned And Finished","đơn hàng đã trả hàng thành công!",module,Magento_Sales
"Payment Guide","Hướng dẫn thanh toán"
"Please select a region, state or province.","--Chọn tỉnh/thành phố--",module,Chottvn_PriceQuote
"Please select a city.","--Chọn quận/huyện--",module,Chottvn_PriceQuote
"Please select a township.","--Chọn phường/xã--",module,Chottvn_PriceQuote
"Default Billing Address","Địa chỉ liên hệ"
"Your age must be 18 years or older.","Độ tuổi của bạn phải lớn hơn hoặc bằng 18 tuổi."
"Register account customer","Đăng ký thành viên Chợ Trực Tuyến"
"Withdrawal Success","Rút tiền thành công"
"Withdrawal","Rút tiền"
"Unqualified","Chưa đủ điều kiện"
"Withdrawal Verify","Xác thực rút tiền"
"Aff Transaction Type","Loại giao dịch"
"Input Amount","Nhập số tiền"
"Withdrawal Amount","Số tiền"
"Available balance: Is the balance CTV can withdraw, the minimum amount of 1 withdrawal is %1 VND","Số dư khả dụng: Là số dư CTV có thể rút, số tiền tối thiểu 1 lần rút là %1đ"
"Continue","Tiếp tục"
"Complete the transaction","Hoàn tất giao dịch"
"Step initialization","Khởi tạo"
"Step confirm","Xác nhận"
"Step result","Kết quả"
"CHO TRUC TUYEN has confirmed the withdrawal request. We will pay you within 7 working days","Chợ Trực Tuyến xác nhận đã nhận được yêu cầu rút tiền. Chúng tôi sẽ thanh toán cho bạn trong vòng 7 ngày làm việc."
"You have submitted an unsuccessful withdrawal request","Bạn đã gửi yêu cầu rút tiền không thành công"
"Authentication code has been invalid. Your withdrawal request has been canceled. Please do it again.","Mã xác thực đã hết hiệu lực. Yêu cầu rút tiền của bạn đã bị huỷ. Vui lòng thực hiện lại."
"There was an error processing the request. Your withdrawal request has been canceled. Please do it again.","Có lỗi trong quá trình xử lý yêu cầu. Yêu cầu rút tiền của bạn đã bị huỷ. Vui lòng thực hiện lại."
"The requested amount is not appropriate. Your withdrawal request has been canceled. Please do it again.","Số tiền yêu cầu không hợp lệ. Yêu cầu rút tiền của bạn đã bị huỷ. Vui lòng thực hiện lại."
"Complete Withdrawal","Xác thực"
"Invalid withdrawal","Rút tiền không hợp lệ"
"Invalid amount","Số tiền không hợp lệ"
"Total balance amount","Tổng số dư"
"Request amount","Số tiền yêu cầu"
"Your coupon was successfully applied.","Mã giảm giá/khuyến mãi đã được áp dụng thành công.",module,Magento_SalesRule
"Enter discount code","Nhập mã giảm giá/khuyến mãi",module,Magento_Checkout
"Enter discount code","Nhập mã giảm giá/khuyến mãi"
"Your coupon was successfully applied.","Mã giảm giá/khuyến mãi đã được áp dụng thành công."
"Cancel Coupon","Hủy áp dụng",module,Magento_Checkout
"Cancel Coupon","Hủy áp dụng"
"Cancel coupon","Hủy áp dụng",module,Magento_SalesRule
"Cancel coupon","Hủy áp dụng",module,Magento_NegotiableQuote
"The coupon code ""%1"" is not valid.","Mã giảm giá/khuyến mãi không hợp lệ."
"The coupon code ""%1"" is not valid.","Mã giảm giá/khuyến mãi không hợp lệ.",module,Magento_Quote
"You used coupon code ""%1"".","Mã giảm giá/khuyến mãi đã được áp dụng thành công.",module,Magento_Checkout
"You used coupon code ""%1"".","Mã giảm giá/khuyến mãi đã được áp dụng thành công."
"You canceled the coupon code.","Mã giảm giá/khuyến mãi đã được hủy áp dụng.",module,Magento_Checkout
"You canceled the coupon code.","Mã giảm giá/khuyến mãi đã được hủy áp dụng."
"Your coupon was successfully removed.","Mã giảm giá/khuyến mãi đã được hủy áp dụng.",module,Magento_SalesRule
"Your coupon was successfully removed.","Mã giảm giá/khuyến mãi đã được hủy áp dụng."
"Your coupon was successfully removed.","Mã giảm giá/khuyến mãi đã được hủy áp dụng.",module,Magento_Checkout
"You have placed no request price quote.","Bạn chưa tạo báo giá nào."
"My Price Quote","Báo giá của tôi"
"You have added the product to the cart.","Bạn đã thêm sản phẩm vào giỏ hàng."
"Company Information","Thông tin công ty"
"Date request price quote","Ngày lập báo giá"
"View price quote details","Xem chi tiết báo giá"
"View more youtube","Xem thêm các video"
"View more blog","Xem thêm bài viết"
"%1 year(s) ago", "%1 năm trước"
"%1 month(s) ago", "%1 tháng trước"
"%1 day(s) ago", "%1 ngày trước"
"%1 hour(s) ago", "%1 giờ trước"
"%1 minute(s) ago", "%1 phút trước"
"%1 second(s) ago", "%1 giây trước"
"Would you like to add an item in the shopping cart to this order?","Bạn có muốn thêm sản phẩm đang có trong giỏ hàng vào đơn hàng này không?"
"Customers choose 01 of the %1 offers","Khách hàng chọn 01 trong %1 quà tặng"
"Hot promotions","Khuyến mãi hot"
"Customers get %1 gifts","Khách hàng được %1 quà tặng"
"You are choosing a gift: ","Bạn đang chọn quà tặng: "
"You submitted your review for moderation.","Bạn đã đánh giá sản phẩm thành công",module,Magento_Review
"Brands - Trademarks","Thương hiệu - Nhãn hiệu"
"We can\'t find brand matching the selection.","Không tìm thấy Thương hiệu - Nhãn hiệu"
"Load more brands","Xem thêm"
"Brand","Thương hiệu"
"Brand - Product Categories","Danh mục sản phẩm"
"Filter products","Lọc sản phẩm"
"All gift of %1 are out of stock","Tất cả quà tặng của sản phẩm %1 tạm hết hàng."
"Accessories can be purchased with the main product","Phụ kiện mua kèm"
